"","dates","V1","V2","V3","V4","V5","V6","V7","V8"
"16321",2002-05-05,0,0,0,0,0,1.2,0,0
"16323",2002-05-06,0,0,0,0,0,0,0,0
"16325",2002-05-07,0,0,0,0,0,0.8,0,0
"16327",2002-05-08,0,0,0,0,0,0,0,0
"16329",2002-05-09,0,0,0,0,0,0,0,0
"16331",2002-05-10,0,0,0,0,0,0,0,0
"16333",2002-05-11,0,0,0,0,0,0.9,0,0
"16335",2002-05-12,0,0,0,0,0,0,0,0
"16337",2002-05-13,0,0,0,0,2.3,0,0,0
"16339",2002-05-14,0,0,0,0,4.4,0,0,0
"16341",2002-05-15,0,0.4,0,0,4.5,0,0,0
"16343",2002-05-16,0,0.2,0,4,1.2,1.2,0,1.3
"16345",2002-05-17,0,0,1.9,6.5,0,3.2,0,3.9
"16347",2002-05-18,0,0,0,0,0,1.2,0,0
"16349",2002-05-19,0,0,0,0,0,0,0,0
"16351",2002-05-20,0,0,0,0,0,0,0,0
"16353",2002-05-21,0,0,0,0,0,0,0,0
"16355",2002-05-22,0,0,0,0,0,4.9,0,0.5
"16357",2002-05-23,0,0,2.2,0,0,0.8,0,0
"16359",2002-05-24,0,0,0.2,2,0,0,0,1.9
"16361",2002-05-25,0,0,0,0,0,0,0,11
"16363",2002-05-26,0,0,0,0,0,0,0,3
"16365",2002-05-27,0,0.6,0,0,0,0,0,0
"16367",2002-05-28,0,0,0,0,0,0.9,0,6
"16369",2002-05-29,0,0,0,0,0,0,0,0.8
"16371",2002-05-30,0,0,0,0,0,1,0,0
"16373",2002-05-31,0,0,0,0,0,0.9,0,0
"16375",2002-06-01,0,0,1.2,NA,0,6.9,0,0
"16377",2002-06-02,0,0,0,0,0,3,0,0
"16379",2002-06-03,0,0,0.5,0,0,2,0,0
"16381",2002-06-04,0,0,5.3,0,0,3.2,0,1.5
"16383",2002-06-05,0,0,0.9,0,0,0,0,4.7
"16385",2002-06-06,0,0,0,0,0,0,0,6.8
"16387",2002-06-07,0,0,0,0,0,0,0,0
"16389",2002-06-08,0,0,0,0,0,0,0,0
"16391",2002-06-09,0,0,0,0,0,0,0,0
"16393",2002-06-10,0,0,0,0,0,0,0,5.5
"16395",2002-06-11,0,0,0,0,0,0,0,1.5
"16397",2002-06-12,0,0,0,0,0,0,0,0
"16399",2002-06-13,0,0,0,0,0,0,0,0
"16401",2002-06-14,0,0,0,0,0,0,0,0
"16403",2002-06-15,0,0,0,0,0,1.1,0,0
"16405",2002-06-16,0,0,0,0,0,0,0,0.7
"16407",2002-06-17,0,0,0,0,0,0,0,1.3
"16409",2002-06-18,0,0,0,0,0,0,0,0
"16411",2002-06-19,0,0,0,0,0,0,0,0
"16413",2002-06-20,0,0,0,0,0,0,0,0
"16415",2002-06-21,0,0,0,0,0,0.3,0,0
"16417",2002-06-22,0,0,0,0,0,0,0,0
"16419",2002-06-23,0,0,0,0,0,0,0,0
"16421",2002-06-24,0,0,0,0,0,0,0,0
"16423",2002-06-25,0,0,0,0,0,0,0,0
"16425",2002-06-26,0,0,0,0,0,0,0,0
"16427",2002-06-27,0,0,0,0,0,0,0,0
"16429",2002-06-28,0,0,0,0,0,0,0,0
"16431",2002-06-29,0,0,0,0,0,0,0,0
"16433",2002-06-30,0,0,0,0,0,0,0,1.5
"16435",2002-07-01,0,0,0,NA,0,0,0,1
"16437",2002-07-02,0,0,0,0,0,0.4,0,0
"16439",2002-07-03,0,0,0,0,0,0.2,0,0
"16441",2002-07-04,0,0,0,0,0,0,0,0
"16443",2002-07-05,0,0,0,0,0,0.5,0,0
"16445",2002-07-06,0,0,0,0,0,0.3,0,0
"16447",2002-07-07,0,0,0,0,0,0,0,0
"16449",2002-07-08,0,0,0,0,0,0,0,2.1
"16451",2002-07-09,0,0,0,0,0,0,0,0
"16453",2002-07-10,0,0,0,0,0,0,0,0
"16455",2002-07-11,0,0,0,0,0,0,0,0
"16457",2002-07-12,0,0,0,0,0,0,0,0
"16459",2002-07-13,0,0,0,0,0,0,0,0
"16461",2002-07-14,0,0,0,0,0,0,0,0
"16463",2002-07-15,0,0,0,0,0,0,0,0
"16465",2002-07-16,0,0,0,0,0,0,0,0
"16467",2002-07-17,0,0,0,0,0,0,0,0
"16469",2002-07-18,0,0,0,0,0,0,0,0
"16471",2002-07-19,0,0,0,0,0,0,0,0
"16473",2002-07-20,0,0,0,0,0,0,0,0
"16475",2002-07-21,0,0,0,0,0,0,0,0
"16477",2002-07-22,0,0,0,0,0,1.6,0,0
"16479",2002-07-23,0,0,0,0,0,0,0,0
"16481",2002-07-24,0,0,0,0,0,0.2,0,0
"16483",2002-07-25,0,0,0,0,0,0,0,0
"16485",2002-07-26,0,0,0,0,0,0,0,0
"16487",2002-07-27,0,0,0,0,0,0,0,0
"16489",2002-07-28,0,0,0,0,0,0,0,0
"16491",2002-07-29,0,0,0,0,0,0,0,0
"16493",2002-07-30,0,0,0,0,0,0.7,0,0
"16495",2002-07-31,0,0,0,0,0,1.1,0,0
"16497",2002-08-01,0,0,0,0,0,1.2,0,0
"16499",2002-08-02,0,0,0,0,0,0,0,0
"16501",2002-08-03,0,0,0,0,0,0,0,0
"16503",2002-08-04,0,0,0,0,0,0,0,0
"16505",2002-08-05,0,0,0,0,0,0,0,0
"16507",2002-08-06,0,0,0,0,0,0,0,0
"16509",2002-08-07,0,0,0,0,0,0,0,0
"16511",2002-08-08,0,0,0,0,0,0,0,0
"16513",2002-08-09,0,0,0,0,0,0,0,0
"16515",2002-08-10,0,0,0,0,0,0,0,0
"16517",2002-08-11,0,0,0,0,0,0,0,0
"16519",2002-08-12,0,0,0,0,0,0,0,0
"16521",2002-08-13,0,0,0,0,0,0,0,0
"16523",2002-08-14,0,0,0,0,0,0,0,0
"16525",2002-08-15,0,0,0,0,0,0,0,0
"16527",2002-08-16,0,0,0,0,0,0,0,0
"16529",2002-08-17,0,0,0,0,0,0.6,0,0
"16531",2002-08-18,0,0,0,0,0,1.7,0,0
"16533",2002-08-19,0,0,0,0,0,0.7,0,0
"16535",2002-08-20,0,0,0,0,0,0,0,0
"16537",2002-08-21,0,0,0,0,0,0,0,0
"16539",2002-08-22,0,0,0,0,0,0,0,0
"16541",2002-08-23,0,0,0,0,0,0,0,0
"16543",2002-08-24,0,0,0,0,0,0,0,0
"16545",2002-08-25,0,0,0,0,0,0,0,0
"16547",2002-08-26,0,0,0,0,0,0,0,0
"16549",2002-08-27,0,0,0,0,0,0,0,0
"16551",2002-08-28,0,0,0,0,0,0,0,0.8
"16553",2002-08-29,0,0,0,0,0,0.7,0,0
"16555",2002-08-30,0,0,0,0,0,0.4,0,0
"16557",2002-08-31,0,0,0,0,0,0,0,0
"16559",2002-09-01,0,0,0,NA,0,0,0,0
"16561",2002-09-02,0,0,0,0,0,0,0,0
"16563",2002-09-03,0,0,0,0,0,0,0,0
"16565",2002-09-04,0,0,0,0,0,0,0,0
"16567",2002-09-05,0,0,0,0,0,0,0,0
"16569",2002-09-06,0,0,0,0,0,0,0,0
"16571",2002-09-07,0,0,0,0,0,0,0,0
"16573",2002-09-08,0,0,0,0,0,0,0,0
"16575",2002-09-09,0,0,0,0,0,2.9,0,0
"16577",2002-09-10,0,0,0,0,0,4,1.2,2
"16579",2002-09-11,0,0,0,0,0,1.1,0,2.3
"16581",2002-09-12,0,0,0,0,0,4.9,0,0
"16583",2002-09-13,0,0,0,0,0,0.5,0,0
"16585",2002-09-14,0,0,0,0,0,0,0,0
"16587",2002-09-15,0,0,0,0,0,0,0,0
"16589",2002-09-16,0,0,0,0,0,0.2,0,0
"16591",2002-09-17,0,0,0,0,0,0,0,1.1
"16593",2002-09-18,0,0,0,0,0,1.3,0,1.4
"16595",2002-09-19,0,0,0,0,0,0,0,0
"16597",2002-09-20,0,0,0,0,0,0,0,0
"16599",2002-09-21,0,0,0,0,0,0,0,0
"16601",2002-09-22,0,0,0,0,0,0.5,0,0
"16603",2002-09-23,0,2.5,0,0,0,0,0,6.4
"16605",2002-09-24,0,2.2,0,0,0,1.3,0,1.6
"16607",2002-09-25,0,6.2,2.1,0,1.2,13.2,0,3.4
"16609",2002-09-26,0,0.8,0,0,10.4,4.2,0,0
"16611",2002-09-27,0,7.8,0,0,2.4,0,0,1
"16613",2002-09-28,0,8.5,0,0,1.3,0,2.6,0
"16615",2002-09-29,0,12.3,2.2,9,0,1.8,4.5,0
"16617",2002-09-30,5.1,5.7,8.2,6,0,3.1,1.4,0
"16619",2002-10-01,0,0,6.2,2.5,0,0,0,1.9
"16621",2002-10-02,0,0,0,0,0,6.3,0,8.2
"16623",2002-10-03,0,0,0,0,0,18.8,0,9.8
"16625",2002-10-04,0,0,0,0,0,0.5,0,1.5
"16627",2002-10-05,0,0,0,0,0,1.1,0,0
"16629",2002-10-06,0,0,0,0,1.2,0,2.3,1.7
"16631",2002-10-07,0.4,0,0,0,5.5,7.9,0,5.4
"16633",2002-10-08,0,0,0,3,2.4,0.9,1.2,2.8
"16635",2002-10-09,0,2.2,0.8,2.3,2.2,7.1,0,2.4
"16637",2002-10-10,0,6.5,17.6,6.5,0,18.5,0,7.3
"16639",2002-10-11,0.2,0.6,4.3,7.3,0,17.4,0,15.2
"16641",2002-10-12,0,0,0,6,0,2.5,4.6,6.1
"16643",2002-10-13,0,0,0.2,7.5,0,0.7,0,1.6
"16645",2002-10-14,0,4.2,6.4,8,0,0.7,0,2.9
"16647",2002-10-15,0,0,2.2,9.4,0,17.6,0,1.1
"16649",2002-10-16,0,0,0,0,0,10.9,0,0.7
"16651",2002-10-17,0,0,0,0,0,11,0,0
"16653",2002-10-18,0,0,0,0,5.9,1.6,0,1
"16655",2002-10-19,0,0,0,0,13.1,0.6,0,4.4
"16657",2002-10-20,0,0,0,0,1.1,0,0,1.8
"16659",2002-10-21,0,0,0,0,0,0,0,1
"16661",2002-10-22,0,0,0.3,4,0,3.3,0,4
"16663",2002-10-23,0,2.4,2.8,5,3.3,9.8,0,5.2
"16665",2002-10-24,0,1.8,0.8,4.5,7.2,5.4,0,2.3
"16667",2002-10-25,1.3,0,0.8,3.5,5.9,3.9,4.2,8.6
"16669",2002-10-26,2,0,1.2,6.5,5.8,15.8,3.4,10.7
"16671",2002-10-27,0,1.2,7.9,13,10,14.9,0,16.3
"16673",2002-10-28,0,1.1,0.8,0,1.2,1.6,0,7.7
"16675",2002-10-29,0,4,7.8,6,0,18.7,0,3
"16677",2002-10-30,0.3,5.5,8,4,0,10.7,4.4,7.7
"16679",2002-10-31,0.1,1.3,0,9.5,0,13.3,0,10.2
"16681",2002-11-01,NA,NA,0,0,0,0.3,NA,NA
"16683",2002-11-02,0,0,0,0,0,0.5,0,0.8
"16685",2002-11-03,0,0,0,0,0,0.1,0,0
"16687",2002-11-04,0,0,0,0,0,0.9,0,3.1
"16689",2002-11-05,0,0,0.8,0,4.1,1.3,0,2.7
"16691",2002-11-06,0,0,2.3,5,2.5,14.2,0,4
"16693",2002-11-07,NA,1.5,2.1,0,5.8,13.7,0,6.9
"16695",2002-11-08,0,1.9,2,0,5.2,6.1,0,0
"16697",2002-11-09,0,0,0,0,1.4,4.5,0,1.4
"16699",2002-11-10,0,0,2.5,0,0,0.1,0,5.1
"16701",2002-11-11,0,1.4,2.8,0,0,2.9,0,9.7
"16703",2002-11-12,1,5.4,7.9,10.5,0,8.3,0,9.1
"16705",2002-11-13,4.3,9.4,0.4,7.5,4.5,16.9,6.3,6.6
"16707",2002-11-14,0,0,0,0,6.3,0.5,0,3.3
"16709",2002-11-15,0,0,0,6,4.3,0.1,0,0
"16711",2002-11-16,1,3.1,1.9,4,5.5,12.3,0,1.5
"16713",2002-11-17,4.1,3.8,6.9,0,6.1,4,1.6,4
"16715",2002-11-18,1.1,6.5,3.5,3.5,0,7.8,0,3.4
"16717",2002-11-19,4,5.2,3.7,6.2,0,2.5,0,6.4
"16719",2002-11-20,0.3,7.5,7.7,8,0,6.2,6,6.3
"16721",2002-11-21,4.9,1,2.1,3,3.1,2.9,4.6,2.8
"16723",2002-11-22,2.8,2.8,2.3,4.2,6.7,5.1,4.5,7
"16725",2002-11-23,0.3,0,5.7,3,4.2,0,0,0.6
"16727",2002-11-24,0,0,0,0,11.2,0.4,0,1.4
"16729",2002-11-25,0,0,0,0,2.2,2,0,0
"16731",2002-11-26,0,8.4,1.3,4,0,4.3,0,0.8
"16733",2002-11-27,0,0,0,3.5,0,8.8,0,2
"16735",2002-11-28,0,0,0,0,0,3.2,0,1.9
"16737",2002-11-29,0,0,2.5,6,0,0.7,0,1.8
"16739",2002-11-30,0,0,4.4,2.5,0,3.6,0,3.9
"16741",2002-12-01,0.3,0.6,9.4,3.2,0,1.8,5.2,3.5
"16743",2002-12-02,0,14.7,7.8,4.5,0,2.8,0,2.6
"16745",2002-12-03,0,0,0,10,0,6,0,0
"16747",2002-12-04,0,1.4,2.8,3.2,0,26.3,0,0.5
"16749",2002-12-05,0,1,0,0,0,1.3,0,4.6
"16751",2002-12-06,0,0,0,2,2.2,0.2,0,7.4
"16753",2002-12-07,1.4,0,0,0,6.7,0,0,0
"16755",2002-12-08,0,0,0,0,2.5,0,0,0
"16757",2002-12-09,0,0,0,0,1.1,1.2,0,0
"16759",2002-12-10,0,0,0,0,0,0,0,0
"16761",2002-12-11,0,0,0,0,0,0,0,0
"16763",2002-12-12,0,0,0,0,0,0,0,0
"16765",2002-12-13,0,0,0,0,8.1,0,0,0
"16767",2002-12-14,0,0,2.2,0,3.4,0,0,6.1
"16769",2002-12-15,0,0,1.9,0,5.1,12,0,4.8
"16771",2002-12-16,0,4.1,16.4,6,8.1,3.6,0,11.3
"16773",2002-12-17,0,0,3.7,7,0,0,0,12.9
"16775",2002-12-18,0,0,0,8,0,1.2,0,4.5
"16777",2002-12-19,0,3.9,0,6.5,0,4.9,0,5.5
"16779",2002-12-20,0,3,7.8,7.5,0,15,0,9.3
"16781",2002-12-21,0,0,2.6,4.5,0,7.4,0,13.4
"16783",2002-12-22,0,0,4.5,3.5,0,2.2,0,10.5
"16785",2002-12-23,0,0,0,0,0,3.7,0,3.6
"16787",2002-12-24,0,0,0.7,8.4,0,4.8,0,4
"16789",2002-12-25,0,0,0,8,6.2,5.9,0,4.7
"16791",2002-12-26,0.7,3.7,2,0,2.5,3.8,0,1.9
"16793",2002-12-27,1.3,3.3,3.8,6.5,7.6,1.3,3.6,3.9
"16795",2002-12-28,NA,4.2,6.7,7.2,6.4,2.3,1.3,5.5
"16797",2002-12-29,0.9,6,3.5,8.3,0,8.5,0,1.5
"16799",2002-12-30,0.5,6.5,0,5,0,5.2,6.4,5.2
"16801",2002-12-31,0,21.1,4.7,6,0,3.5,4.2,1.5
"16803",2003-01-01,0,1.7,15.2,4,0,10.2,0,4.3
"16805",2003-01-02,0,2.2,1.4,0,0,5,0,3.5
"16807",2003-01-03,0,0,2.3,2.5,0,6.1,0,0
"16809",2003-01-04,0,2.3,1.8,3.5,0,5.7,0,1.9
"16811",2003-01-05,NA,0,0.5,0,0,0.9,5.2,1.1
"16813",2003-01-06,0.9,3.1,0,0,0,9,0,0
"16815",2003-01-07,2.2,3.6,2.2,0,0,3.3,7,1.7
"16817",2003-01-08,1.2,0,0,5.5,0,1.2,2.5,7.4
"16819",2003-01-09,1.8,1.4,1.7,1,0,0,3.6,3.9
"16821",2003-01-10,0.9,9,14.4,0,0,9,4,7
"16823",2003-01-11,3.2,20.8,8.6,6,0,6,2,7.7
"16825",2003-01-12,0,0,10.1,7,0,5.6,3.6,7.1
"16827",2003-01-13,0,0,1.1,1,0,0.9,0,5.3
"16829",2003-01-14,0,0,0,0,0,6.9,0,0.9
"16831",2003-01-15,0,0,0,2,0,8.7,0,0
"16833",2003-01-16,0,2.4,0,6.5,0,9.7,0,0
"16835",2003-01-17,0,0,5.8,0,5.2,4.9,0,6.8
"16837",2003-01-18,0,0,0,0,4.5,0,0,0.6
"16839",2003-01-19,0,0,0,0,2.1,0,0,0
"16841",2003-01-20,0,0,0,0,0,0.1,0,0
"16843",2003-01-21,0,0,0,0,4.2,0,0,0
"16845",2003-01-22,0,0,0,0,9.7,0.2,0,0
"16847",2003-01-23,0,0,1.6,5.5,7.3,9.7,3,0
"16849",2003-01-24,2.6,2.5,6.3,6,13.2,6.2,6,7.7
"16851",2003-01-25,0.3,5.9,3.3,6.2,8.2,7,0,4.6
"16853",2003-01-26,1.5,0.7,1.8,6.5,5.4,2.4,5.6,5.3
"16855",2003-01-27,0.3,2,0,8,6,3,0,4.7
"16857",2003-01-28,1.9,2.2,6.9,6.3,6.6,7.1,0,2.1
"16859",2003-01-29,2.7,0,3.3,7.5,7.4,9.8,0,7.6
"16861",2003-01-30,1.5,1.8,1.8,10.5,13.4,1.2,3.6,9.7
"16863",2003-01-31,0,0,8.7,6.5,1.2,10,2.5,18.3
"16865",2003-02-01,1.9,6,9.6,10,0,11.2,3,11.3
"16867",2003-02-02,8.1,8.7,2.2,9,0,12.9,3.6,9.4
"16869",2003-02-03,0.3,3.1,4,0,2.3,0.8,0,1.4
"16871",2003-02-04,0,0,0,0,1.2,0.1,0,1.5
"16873",2003-02-05,0,0,2.2,1.5,0,0,0,3.1
"16875",2003-02-06,0,0.8,13,0,3.4,2.8,0,1.1
"16877",2003-02-07,2.2,3.7,3.8,6.3,6.8,4.1,4.5,6.7
"16879",2003-02-08,5.2,3.2,0.9,4.2,3.8,6.1,8.4,7.4
"16881",2003-02-09,1.6,2,0,3.5,1.9,2.9,5.6,9.7
"16883",2003-02-10,5.3,18.5,14.3,8.5,0,9.2,2,8.6
"16885",2003-02-11,0,0,4.4,0,0,7.1,0,2.1
"16887",2003-02-12,0.2,0,1.9,0,0,4.3,0,4.9
"16889",2003-02-13,0,0,21.6,3.5,13.5,3.1,0,4.6
"16891",2003-02-14,0,7.6,0.4,2,3.7,7.9,0,11.1
"16893",2003-02-15,0,0.3,0,0,2.6,0.5,0,1.7
"16895",2003-02-16,0,0,0,0,9.1,0,0,3
"16897",2003-02-17,0,0,0,0,0,0,0,0
"16899",2003-02-18,0,0,0,0,0,0,0,0
"16901",2003-02-19,0,0,0,0,0,0,0,0
"16903",2003-02-20,0,1.9,0,0,0,0.7,0,5.9
"16905",2003-02-21,0,1.5,3.9,4,1.2,17.7,0,6.1
"16907",2003-02-22,0.6,2.1,9.1,3.5,7.1,20.8,0,8.5
"16909",2003-02-23,2.7,3.4,5.4,4.2,10.4,12.6,7.1,4.2
"16911",2003-02-24,3,3.9,1.4,7,1.9,8.1,1.5,3.7
"16913",2003-02-25,1.4,0,0,3.5,0,0.6,1.2,0
"16915",2003-02-26,1.8,0,0.7,2.5,0,0.6,0,5.6
"16917",2003-02-27,0.2,0,0,1.5,0,0.1,0,7.3
"16919",2003-02-28,1.7,0,5.8,4,0,4.7,2.4,9.7
"16921",2003-03-01,2.7,3.7,1.9,10,0,1.7,4,11.8
"16923",2003-03-02,2.1,6.5,9.6,8.5,2.6,9.4,10.5,7.7
"16925",2003-03-03,5,6.6,8.5,4.5,12.1,16.9,4.2,15
"16927",2003-03-04,1.7,4,1.5,5,5.3,4.3,3.3,9.2
"16929",2003-03-05,0.7,2,2.3,4,2.3,6,7.6,10.5
"16931",2003-03-06,0.5,3.3,5.4,5.5,0,0,1.9,3.9
"16933",2003-03-07,0.6,6.1,1.7,0,0,1.3,1.4,2.1
"16935",2003-03-08,0,3.4,4.4,0,5.1,2.3,0,3.9
"16937",2003-03-09,3.5,1.5,0,0,6.4,0.7,6.1,7.6
"16939",2003-03-10,2.5,1.3,3.8,6,12.3,0.3,3.6,3.3
"16941",2003-03-11,10.7,5.5,2.8,4.5,0,1.7,9.2,6.5
"16943",2003-03-12,0.1,0,0.6,7.2,0,8,2.6,1.9
"16945",2003-03-13,5.2,2,12.7,6.2,0,3.4,0,8.8
"16947",2003-03-14,5.6,8.9,13.5,8.2,0,6.9,6,9
"16949",2003-03-15,1,2.9,0.9,10.5,0,6.2,0,14.3
"16951",2003-03-16,3.2,4.1,7.5,11.5,12.1,11.8,9.2,15.4
"16953",2003-03-17,0.6,7.9,14.2,4.5,8.5,13.3,1.2,10.8
"16955",2003-03-18,0,7.6,3.9,2.5,4.2,9.9,0,4.5
"16957",2003-03-19,4.5,0,0,0,8.2,0,0,0.8
"16959",2003-03-20,0.5,0,0,0,0,0.3,0,0
"16961",2003-03-21,0,0,0,0,0,0,0,0
"16963",2003-03-22,0,0,0,0,8.8,0,0,0
"16965",2003-03-23,NA,0,0,0,5.7,0,0,0
"16967",2003-03-24,0.3,1,0,0,16.8,0.6,0,1.3
"16969",2003-03-25,0,0.5,3.4,2,12.6,4,0,5.2
"16971",2003-03-26,0,1,0.7,3,10.4,4.7,0,6.2
"16973",2003-03-27,0,1.8,0,0,8.8,12.8,0,0.7
"16975",2003-03-28,0.5,0.6,2.8,1.5,0,12,0,1.1
"16977",2003-03-29,NA,5.4,2.6,9.5,0,11.3,0,4.2
"16979",2003-03-30,1.5,2.8,8.1,11.5,1.2,15.1,9.1,5.1
"16981",2003-03-31,0,0,2.3,4.5,2.1,3.5,1.2,3.7
"16983",2003-04-01,0,4.4,0.7,8.5,0,1.8,0,1.5
"16985",2003-04-02,0,2.4,0,0,0,3.1,0,5.6
"16987",2003-04-03,0,0,0.4,0,0,5.2,0,0.6
"16989",2003-04-04,0,0,0,0,0,18.6,0,1.1
"16991",2003-04-05,0,0,0,0,1.2,0.8,0,0.6
"16993",2003-04-06,0,0,0.2,0,8.3,0.7,0,1.3
"16995",2003-04-07,0,0,0,2,4.4,10.2,0,12.5
"16997",2003-04-08,0,0,0,3,0,1.6,0,0.8
"16999",2003-04-09,0,0.3,0,4.5,0,0.5,2.7,2.2
"17001",2003-04-10,0,2,2.6,6,0,1.1,0,1.9
"17003",2003-04-11,0,10,6.7,7.5,0,2,6.2,3.8
"17005",2003-04-12,0,7,3.1,4.3,0,1.9,1.2,8.7
"17007",2003-04-13,0,11.3,5.6,6.5,0,12.1,1.3,1.8
"17009",2003-04-14,0,1.4,5.1,6,4.4,9.5,0,4
"17011",2003-04-15,0,0,0,4,3.6,8.6,0,2.2
"17013",2003-04-16,0,0,0,5.2,6.8,20.9,0,1.6
"17015",2003-04-17,0,0,0,0,4.3,11.3,0,3.2
"17017",2003-04-18,0,0,0,0,0,0.4,0,0
"17019",2003-04-19,3.9,0,1.8,2,0,3.6,2.6,0
"17021",2003-04-20,0,0,0,4,0,8.6,0,1.5
"17023",2003-04-21,0,2.6,10.1,0,0,4.6,0,1.8
"17025",2003-04-22,0,0.2,2.1,3.5,0,9.7,0,8.4
"17027",2003-04-23,0,0.5,0.6,2,0,8.3,0,2.4
"17029",2003-04-24,0,0.3,0,0,1.1,0.5,0,2
"17031",2003-04-25,2.1,0.3,0.2,0,3.2,11.7,0,1.9
"17033",2003-04-26,0.1,0.2,0,0,1.3,1.5,0,9.8
"17035",2003-04-27,1.3,0.7,0,0,0,0,0,4
"17037",2003-04-28,0,0,0,0,0,1,0,0
"17039",2003-04-29,0,0,0,0,0,0.8,0,0
"17041",2003-04-30,0,0,0.1,0,0,0.6,0,0
"17043",2003-05-01,0,0,0,0,0,0.2,0,0
"17045",2003-05-02,0,0,0,0,0,0,0,0
"17047",2003-05-03,0,0,0,0,0,0,0,0
"17049",2003-05-04,0,0,1,0,0,0,0,0
"17051",2003-05-05,0,0,0,0,0,0.5,0,2.3
"17053",2003-05-06,0,0,0,1,0,0.2,0,2
"17055",2003-05-07,0,0,0.5,2.5,0,0.7,0,1.9
"17057",2003-05-08,0,0,0,0,0,7.5,0,0
"17059",2003-05-09,0,0,0,0,0,0.9,0,0
"17061",2003-05-10,0,0,2.6,0,0,0,0,0
"17063",2003-05-11,0,0,0,0,0,0.6,0,0
"17065",2003-05-12,0,0,0,0,0,1.9,0,1
"17067",2003-05-13,0,0,0,0,0,3.2,0,5.4
"17069",2003-05-14,0,0,0,0,0,3,0,1
"17071",2003-05-15,0,0,0,0,0,0.9,0,2.4
"17073",2003-05-16,0,0,0,0,0,5,0,0
"17075",2003-05-17,0,0,0,0,0,0.1,0,0
"17077",2003-05-18,0,0,0,0,0,1.9,0,1.8
"17079",2003-05-19,0,0,0,0,0,2.4,0,0
"17081",2003-05-20,0,0,0,0,0,0.1,0,0
"17083",2003-05-21,0,0,0,0,0,0.3,0,0
"17085",2003-05-22,0,0,0,0,0,0,0,1.5
"17087",2003-05-23,0,0,0,0,0,0.6,0,0
"17089",2003-05-24,0,0,0,0,0,0,0,3.2
"17091",2003-05-25,0,0,0,0,0,0.2,0,5.8
"17093",2003-05-26,0,0,0,0,0,1.5,0,0
"17095",2003-05-27,0,0,0,0,0,0.1,0,0
"17097",2003-05-28,0,0,0,0,0,4.7,0,1.8
"17099",2003-05-29,0,0,0,0,0,4.1,0,3.8
"17101",2003-05-30,0,0,0,0,0,0,0,2.7
"17103",2003-05-31,0,0,0,0,0,2.7,0,0
"17105",2003-06-01,0,0,0,0,0,0,0,0
"17107",2003-06-02,0,0,0,0,0,1.7,0,0
"17109",2003-06-03,0,0,0,0,0,3.1,0,0
"17111",2003-06-04,0,0,0,0,0,0,0,0
"17113",2003-06-05,0,0,0,0,0,0.9,0,0
"17115",2003-06-06,0,0,0,0,0,0.9,0,0
"17117",2003-06-07,0,0,0,0,0,0,0,0
"17119",2003-06-08,0,0,0,0,0,0,0,0
"17121",2003-06-09,0,0,0,0,0,0,0,0
"17123",2003-06-10,0,0,0,0,0,0,0,0
"17125",2003-06-11,0,0,0,0,0,0,0,0
"17127",2003-06-12,0,0,0,0,0,0,0,0
"17129",2003-06-13,0,0,0,0,0,0,0,0
"17131",2003-06-14,0,0,0,0,0,0,0,0
"17133",2003-06-15,0,0,0,0,0,0,0,0
"17135",2003-06-16,0,0,0,0,0,0,0,0
"17137",2003-06-17,0,0,0,0,0,0,0,0
"17139",2003-06-18,0,0,0,0,0,0.1,0,0
"17141",2003-06-19,0,0,0,0,0,0.8,0,0
"17143",2003-06-20,0,0,0,0,0,0.4,0,0
"17145",2003-06-21,0,0,0,0,0,0,0,0
"17147",2003-06-22,0,0,0,0,0,0,0,0
"17149",2003-06-23,0,0,0,0,0,0.1,0,0
"17151",2003-06-24,0,0,0,0,0,0,0,0
"17153",2003-06-25,0,0,0,0,0,0.2,0,0
"17155",2003-06-26,0,0,0,0,0,0.3,0,0
"17157",2003-06-27,0,0,0,0,0,3.4,0,0
"17159",2003-06-28,0,0,0,0,0,0,0,0
"17161",2003-06-29,0,0,0,0,0,0.7,0,0
"17163",2003-06-30,0,0,0,0,0,0.4,0,0
"17165",2003-07-01,0,0,0,0,0,1.1,0,0.7
"17167",2003-07-02,0,0,0,0,0,0.6,0,3.1
"17169",2003-07-03,0,0,0,0,0,1.2,0,1
"17171",2003-07-04,0,0,0,0,0,0,0,0
"17173",2003-07-05,0,0,0,0,0,7.7,0,0
"17175",2003-07-06,0,0,0,0,0,2.4,0,0
"17177",2003-07-07,0,0,0,0,0,0,0,0
"17179",2003-07-08,0,0,0,0,0,0,0,0
"17181",2003-07-09,0,0,0,0,0,1,0,0
"17183",2003-07-10,0,0,0,0,0,2.7,0,0
"17185",2003-07-11,0,0,0,0,0,0,0,0
"17187",2003-07-12,0,0,0,0,0,0,0,0
"17189",2003-07-13,0,0,0,0,0,0,0,0
"17191",2003-07-14,0,0,0,0,0,0,0,0
"17193",2003-07-15,0,0,0,0,0,0,0,0
"17195",2003-07-16,0,0,0,0,0,0,0,0
"17197",2003-07-17,0,0,0,0,0,0,0,0
"17199",2003-07-18,0,0,0,0,0,1.3,0,0
"17201",2003-07-19,0,0,0,0,0,2.4,0,0
"17203",2003-07-20,0,0,0,0,0,0,0,0
"17205",2003-07-21,0,0,0,0,0,0,0,0
"17207",2003-07-22,0,0,0,0,0,0,0,0
